Region,Club,Address,City,State,ZipCode,Type,Sheets,Year_Fnded,Latitude,Longitude
Wisconsin State Curling Association,Centerville Curling Club,W24854 WI-54,Trempealeau,Wisconsin,54630.0,Dedicated,4.0,1948,44.07009,-91.44802
Minnesota Curling Association,Mankato Curling Club,600 Hope St,Mankato,Minnesota,56001.0,Dedicated,5.0,1903,44.168209999999995,-93.97454
Wisconsin State Curling Association,Appleton Curling Club,307 N Westhill Blvd,Appleton,Wisconsin,54914.0,Dedicated,4.0,1939,44.26358,-88.46159
Wisconsin State Curling Association,Waupaca Curling Club,216 S. Franklin St.,Waupaca,Wisconsin,54981.0,Dedicated,4.0,1879,44.356320000000004,-89.08819
Wisconsin State Curling Association,Tri-City Curling Club,131 Hurley St,Wisconsin Rapids,Wisconsin,54495.0,Dedicated,2.0,1958,44.36768,-89.86041
Grand National Curling Club,Belfast Curling Club,211 Belmont Ave,Belfast,Maine,4915.0,Dedicated,3.0,1959,44.413509999999995,-69.0594
Wisconsin State Curling Association,Green Bay Curling Club,781 Mike McCarthy Way,Green Bay,Wisconsin,54304.0,Dedicated,3.0,1958,44.4957,-88.05593
Wisconsin State Curling Association,Stevens Point Curling Club,1628 Country Club Dr,Stevens Point,Wisconsin,54481.0,Dedicated,2.0,1959,44.5204598,-89.5294339
Wisconsin State Curling Association,Clintonville Curling Club,65 6th St,Clintonville,Wisconsin,54929.0,Dedicated,2.0,1948,44.61788,-88.76593000000001
Minnesota Curling Association,Dakota Curling,20775 Holt Ave,Lakeville,Minnesota,55044.0,Dedicated,6.0,2006,44.64847,-93.24174000000001
Wisconsin State Curling Association,"Marshfield Curling Club, Inc.",1500 S Vine Ave,Marshfield,Wisconsin,54449.0,Dedicated,3.0,1976,44.65419,-90.17493
Wisconsin State Curling Association,Eau Claire Curling Club,5530 Fairview Dr,Eau Claire,Wisconsin,54701.0,Dedicated,4.0,1876,44.76352,-91.46343
Minnesota Curling Association,Chaska Curling Club,3210 Chaska Blvd,Chaska,Minnesota,55318.0,Dedicated,6.0,2015,44.789629999999995,-93.60256
Great Lakes Curling Association,Lewiston Curling Club,4230 Co Rd 612,Lewiston,Michigan,49756.0,Dedicated,2.0,1960,44.8841049,-84.30844300000001
Wisconsin State Curling Association,Wausau Curling Club,1920 Curling Way,Wausau,Wisconsin,54403.0,Dedicated,8.0,1896,44.93776,-89.61145
Minnesota Curling Association,St. Paul Curling Club,470 Selby Ave,St. Paul,Minnesota,55102.0,Dedicated,8.0,1888,44.94647,-93.11994
Minnesota Curling Association,Frogtown Curling Club,743 Western Ave N,St. Paul,Minnesota,55103.0,Dedicated,6.0,2010,44.96369,-93.11684
Wisconsin State Curling Association,Medford Curling Club,525 S Whelen Ave,Medford,Wisconsin,54451.0,Dedicated,4.0,1914,45.134029999999996,-90.34465
Minnesota Curling Association,Four Seasons Curling Club,9250 Lincoln St NE,Blaine,Minnesota,55434.0,Dedicated,6.0,2012,45.13759,-93.23929
